commit	val_per	training_sec	status	description
baseline	0.7645	373	keep	LOPO pre-baked: CE+focal+mixup+label_smooth+per_pos_heads+kNN+TTA, 9 source pts
exp01	0.8254	255	discard	S1 batch=32, eval_every=5, patience=12 — worse, early stop epoch 65
exp02	0.8257	271	discard	S1 LR=5e-4, WD=1e-3 — worse, COLLAPSED (stereotypy 0.32)
exp03	0.7845	269	discard	Source replay 30% in Stage 2 — worse by 2pp
exp04	0.7882	336	discard	H=64 backbone (d=64, gru_hidden=64) — worse, S2 slower
exp05	0.8040	416	discard	Freeze backbone in Stage 2 (LR_MULT=0.0) — worse
exp06	0.7882	336	discard	Dual head (CE + articulatory) — worse, articulatory head didn't help cross-patient
exp07	0.7930	275	discard	S1 fixed 30 epochs cosine, no val split, no early stop — worse
exp08	0.8066	363	discard	Progressive unfreezing S2 (freeze backbone 30 epochs) — worse, S2 folds too short
exp09	0.7975	470	discard	S2 patience 15, epochs 300 — worse, more patience allows more overfitting
exp10	0.8036	239	discard	S1 eval every 5 — worse, S1 best checkpoint at epoch 5 is undertrained
exp11	0.7688	402	discard	Lighter S2 augment + no mixup — close to baseline (0.769 vs 0.764) but not better
exp12	0.8102	396	discard	Stronger S1 reg (dropout 0.5, WD 5e-4) — too much regularization
exp13	0.7623	412	keep	Multi-patient k-NN (source embeddings as extra neighbors, weight 0.5) — NEW BEST
