stage,block,cell,status,primary_metric_name,primary_metric_value,reference_metric_value,delta_from_reference,report_dir,notes
neuroprobe_stage0,B,B3,succeeded,sessions_passed,12,12,0,reports/neuroprobe_stage0_b_bt_lite_integrity_with_transcripts_2026_04_30,"All 12 Lite sessions open, expose expected Lite electrodes, use 2048 Hz, and have parseable transcript feature CSVs after two transcript repairs."
neuroprobe_stage0,E,E3,succeeded,label_parity,1.0,1.0,0,reports/neuroprobe_stage0_e3_label_parity_2026_04_30,"All 15 task labels match Neuroprobe exactly on sub2/trial4 in binary and multiclass modes."
neuroprobe_stage0,D,D.0a,succeeded,mean_test_roc_auc,0.539210,0.539212,-0.000002,reports/neuroprobe_stage0_d0_upstream_baselines_2026_04_30,"CrossSubject binary upstream linear Laplacian + spectrogram aggregate reproduced against Neuroprobe figure summary."
neuroprobe_stage0,D,D.0b,succeeded_with_caveat,mean_test_roc_auc,0.613232,0.611336,0.001896,reports/neuroprobe_stage0_d0_upstream_baselines_2026_04_30,"CrossSession multiclass aggregate reproduced within published SEM; task-level fixed tolerance does not pass because the upstream multiclass figure reference comes from older_neuroprobe_results_fromEngaging."
neuroprobe_stage0,V,V_qc,succeeded,sessions_passed,12,12,0,reports/neuroprobe_stage0_v_data_qc_2026_05_01_v3,"V0-V6 QC frozen 2026-05-01. Raw monopolar median top-eigen-fraction 0.400 (max 0.711); robust-CAR 0.214; shaft-local median 0.167-0.179. Subject-ID balacc 0.699 (chance 0.167); session-ID balacc 0.518 (chance 0.083) — corroborates L.5.P1/P2 kill-criterion necessity."
neuroprobe_stage0,V,V0x_stim_overlap,succeeded,unique_word_overlap_median_upper_bound,0.414,0.5,-0.086,reports/neuroprobe_stage0_v0x_stimulus_overlap_2026_05_10,"CrossSession stimulus-overlap upper-bound across all 12 BT Lite pairs: median 0.414 (min 0.323 / max 0.450). No (subject, task) pair exceeds 50% kill threshold. Per-task accurate-mode pass pending DCC."
neuroprobe_stage0,V,V_public_hard_labels,succeeded,electrode_label_coverage,1.0,1.0,0,reports/neuroprobe_stage0_public_bt_hard_labels_2026_05_05,"BT public hard-label DK/Destrieux audit. 1550/1550 electrodes labeled in full filtered cohort (60 unique labels in Lite; 64 in full). Labels in all subjects: 0 (mean pairwise Jaccard 0.206 Lite / 0.217 full). DK/Destrieux is anti-control distinct from BNA/fsaverage support."
neuroprobe_stage0,L,L.1.N1,frozen,mean_test_roc_auc,0.6132,0.6132,0.0000,reports/neuroprobe_stage0_l1_normalization_2026_05_05,"L.1 frozen at N1 (train_set_fixed) 2026-05-08. Top-3 CIs overlap with N2 (per_session_fixed, 0.6175) + N3 (train_set_scale_only, 0.6137); inductive preference selects N1 over transductive N2. Per-window z (N0) and per-channel z (N8) decisively rejected (-5.4 pp / -5.8 pp). Bootstrap N=2000 paired Wilcoxon."
neuroprobe_stage0,L,L.2.R4xI2,frozen,mean_test_roc_auc,0.6132,0.6132,0.0000,reports/neuroprobe_stage0_l2_neuralset_2026_05_06,"L.2 frozen at R4xI2 (shaft_laplacian × stft_abs, D.0 default) 2026-05-09. Tier-A 9-cell ranking on 12 sessions × 15 tasks. Bipolar+stft (R3xI2) +0.0025 ahead but within noise band; shaftLap selected for biological sourcing prior. View Δ=0.055 swamps ref Δ=0.012 by 4.5× — spectral pretokenizer mandatory."
neuroprobe_stage0,L,L.3.F0,frozen,mean_test_roc_auc,0.6132,0.6132,0.0000,reports/neuroprobe_stage0_l3_filtering_2026_05_10,"L.3 frozen as no-op 2026-05-13 (12/12 sessions). F1 (60/120/180 Hz notch) Δ +0.0007, F2 (F1 + 0.5 Hz HPF) Δ +0.0016, F3 (F1 + 1.0 Hz HPF) Δ +0.0015 — all within ±0.005 noise band. stft_abs already integrates DC drift out + shaftLap kills slow common-mode."
neuroprobe_stage0,L,L.4_anchor,frozen,anchor_robust_within_noise_band,1,1,0,reports/neuroprobe_stage0_l4_anchor_2026_05_09,"L.4 anchor sanity 2026-05-10: A0 [0,1]s baseline 0.6132 vs A1 [-0.375,+0.625]s lead 0.6102. Δ=-0.0030 (12 sessions). Within ±0.005 noise band → anchor-robust. W2-W5 full window sweep in flight 2026-05-13."
neuroprobe_stage0,L,L.4_interaction,frozen,max_abs_interaction_residual,0.0008,0.005,-0.0042,reports/neuroprobe_stage0_l4_norm_view_interaction_2026_05_09,"L.4 norm × view interaction 2026-05-10: 8 cells × 12 sessions = 96 jobs. Max |interaction residual| = 0.0008 ≪ ±0.005 noise band → factors act as nearly independent. Greedy hill-climb safe."
neuroprobe_stage0,L,L.5.P2,kill_flagged,p2_macro_auroc,0.9998,0.95,0.0498,reports/neuroprobe_stage0_l5_nuisance_probes_2026_05_10_p2only,"L.5.P2 within-subject session-id probe 2026-05-10: all 6 subjects ≥ 0.999 macro AUROC (kill threshold 0.95 exceeded). Flagged with high-dim-binary caveat in chris-doc Section H2 — F~75K features at 2-class binary makes linear separability trivial; not interpreted as signal contamination."
neuroprobe_stage0,C,C.0_baseline,succeeded,mean_test_roc_auc,0.5310,0.5310,0.0000,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09,"Tier-C CrossSubject baseline (upstream N1 × R4xI2, sub2 excluded): 0.5310 ± 0.0235 across 10 sessions."
neuroprobe_stage0,C,C.2_l1_l2_winner,succeeded,mean_test_roc_auc,0.5392,0.5310,0.0082,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09,"Tier-C joint L.1+L.2 winner generalization 2026-05-10: +0.0082 vs C.0 baseline (6 better, 4 worse, 7 within noise). L.2 winner (R4xI2) tie holds under CrossSubject distribution shift. C.3 (bipolar × stft) + C.4 (shaft_lap × HG) in flight 2026-05-13."
