commit	val_per	training_sec	status	description
baseline	0.871635	201.0	keep	SpatialConv(8ch,pool4x8) + BiGRU(32,2L) + CE mean-pool, grouped-by-token CV
exp01	0.830806	210.7	keep	label smoothing 0.1 — prevents overconfidence, big win on worst folds
exp02	0.819140	212.4	keep	separate per-position heads + dropout 0.3 before head — decouples positions
exp03	0.802052	234.1	keep	mixup alpha=0.2 — interpolate pairs + soft CE, reduces overfitting
exp04	0.812397	321.9	discard	EMA decay=0.998 — slower, exceeded time budget, more variable folds
exp05	0.845444	205.8	discard	per-position attention pooling — worse, only 30 timesteps too few for learned queries
exp06	0.830729	310.7	discard	R-Drop alpha=0.5 — double forward pass exceeds time budget, KL reg didn't help
exp07	0.780941	236.8	keep	k-NN eval on supervised embeddings — best-of(linear, k-NN k=10) per fold
exp08	0.806568	305.3	discard	SupCon+CE (wt=0.5,τ=0.1) — hurt both linear and k-NN, contrastive fights CE
exp09	0.816909	365.0	discard	center loss (wt=0.1) — destroyed linear head, didn't help k-NN, too aggressive
exp10	0.767482	244.8	keep	TTA 8 copies — average logits+embeddings over augmented val copies
exp11	0.762616	214.8	keep	CEBRA articulatory head — project to 15-dim articulatory features, cosine classify
exp12	0.756434	256.0	keep	dual head (CE+articulatory averaged logits) — ensemble reduces variance
exp13	0.754700	253.1	keep	+ focal loss γ=2 — marginal improvement, focuses on hard phonemes
exp14	0.797894	220.8	discard	H=64 (298K params) — still overfits despite regularization, H=32 better at N=120
exp15	0.797746	250.6	discard	proj head SupCon (wt=0.3,τ=0.2) — contrastive STILL hurts even through separate head
exp16	0.782397	247.9	discard	mixup alpha=0.4 — too aggressive, fewer clean examples
exp17	0.737146	268.0	keep	weighted k-NN + TTA 16 — BEST RESULT
exp18	0.787545	259.5	discard	k=15 TTA=32 — over-smooths
exp19	0.768925	222.3	discard	snapshot ensemble
exp20	0.755035	379.4	discard	patience 15 — budget
exp21	0.772204	282.3	discard	CutMix+dropout 0.5
exp22	0.791295	226.7	discard	temporal derivatives+WD 1e-3
exp23	0.787153	307.8	discard	stride=5 — budget
exp24	0.757074	265.2	discard	soft k-NN — too diffuse
exp25	0.776223	239.7	discard	label smoothing 0.15 — 0.1 is optimal
